0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:30 +0700] "GET /WebsiteBookStore/Login.jsp HTTP/1.1" 200 9029
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:30 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:30 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:30 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:31 +0700] "GET /WebsiteBookStore/images/bg_1.jpg HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:31 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:31 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:31 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:33 +0700] "GET /WebsiteBookStore/Login.jsp HTTP/1.1" 200 9029
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:33 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:33 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:33 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:33 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:33 +0700] "GET /WebsiteBookStore/css/login.css HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:33 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:33 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:27:33 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
