127.0.0.1 - - [15/Nov/2022:19:23:01 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:23:04 +0700] "GET /WebsiteBanGiay/home HTTP/1.1" 200 40246
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:23:04 +0700] "GET /WebsiteBanGiay/js/script.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:23:04 +0700] "GET /WebsiteBanGiay/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:23:15 +0700] "GET /WebsiteBanGiay/home HTTP/1.1" 200 40246
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:23:15 +0700] "GET /WebsiteBanGiay/css/style.css HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:23:15 +0700] "GET /WebsiteBanGiay/css/mdb.min.css HTTP/1.1" 200 294237
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:23:15 +0700] "GET /WebsiteBanGiay/js/script.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:23:17 +0700] "GET /WebsiteBanGiay/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:24:57 +0700] "GET /WebsiteBanGiay/Home.jsp HTTP/1.1" 200 19673
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:24:57 +0700] "GET /WebsiteBanGiay/js/script.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:24:58 +0700] "GET /WebsiteBanGiay/js/mdb.min.js.map HTTP/1.1" 200 676341
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:24:58 +0700] "GET /WebsiteBanGiay/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:47:43 +0700] "GET null HTTP/1.1" 400 2086
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:47:58 +0700] "GET /WebsiteBanGiay/home HTTP/1.1" 200 40246
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:47:58 +0700] "GET /WebsiteBanGiay/js/script.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:47:59 +0700] "GET /WebsiteBanGiay/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:00 +0700] "GET /WebsiteBanGiay/shop HTTP/1.1" 200 33132
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:00 +0700] "GET /WebsiteBanGiay/js/script.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:01 +0700] "GET /WebsiteBanGiay/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:01 +0700] "GET /WebsiteBanGiay/detail?pid=11 HTTP/1.1" 200 32960
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:01 +0700] "GET /js/jquery-3.4.1.min.js HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:01 +0700] "GET /mdb-addons/mdb-lightbox-ui.html HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:03 +0700] "GET /WebsiteBanGiay/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:04 +0700] "GET /WebsiteBanGiay/detail?pid=11 HTTP/1.1" 200 32960
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:04 +0700] "GET /js/jquery-3.4.1.min.js HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:04 +0700] "GET /mdb-addons/mdb-lightbox-ui.html HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [15/Nov/2022:19:48:05 +0700] "GET /WebsiteBanGiay/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/home HTTP/1.1" 200 17724
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/js/script.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/js/jquery-migrate-3.0.0.js HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [15/Nov/2022:20:03:49 +0700] "GET /WebsiteBanGiay/js/popper.min.js HTTP/1.1" 200 19241
